ClTCi;NOD;NOL;RTLOC;ClRCi;NOA;NSF;TLOC;Bugged;PMd;NPF;NSM
12.0;0.0;0.0;130.0;1.5;0.0;0.0;56.0;False;8.0;0.0;0.0
172.75;0.0;0.0;630.0;4.1130952380000005;0.0;0.0;213.0;False;38.0;0.0;0.0
6.0;0.0;0.0;202.0;2.0;0.0;27.0;145.0;False;2.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
28.0;0.0;0.0;590.0;1.12;0.0;3.0;222.0;False;25.0;0.0;1.0
28.0;0.0;0.0;590.0;1.12;0.0;3.0;222.0;False;25.0;0.0;1.0
28.0;0.0;0.0;590.0;1.12;0.0;3.0;222.0;False;25.0;0.0;1.0
0.0;0.0;0.0;35.0;0.0;0.0;0.0;20.0;False;1.0;0.0;0.0
31.916666666999998;0.0;0.0;265.0;1.7731481480000002;0.0;0.0;108.0;False;17.0;0.0;0.0
43.0;0.0;0.0;407.0;1.869565217;0.0;2.0;159.0;False;21.0;0.0;1.0
38.5;0.0;0.0;396.0;1.75;0.0;7.0;160.0;False;19.0;2.0;3.0
80.666666667;0.0;0.0;825.0;1.44047619;0.0;0.0;266.0;False;54.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
7.0;0.0;0.0;55.0;1.75;0.0;0.0;19.0;False;4.0;0.0;0.0
18.0;0.0;0.0;250.0;1.058823529;0.0;8.0;71.0;False;17.0;9.0;0.0
6.0;0.0;0.0;61.0;3.0;0.0;0.0;26.0;False;2.0;0.0;2.0
2.0;0.0;0.0;12.0;2.0;0.0;0.0;3.0;False;0.0;0.0;0.0
4.0;0.0;0.0;52.0;4.0;0.0;0.0;15.0;False;0.0;0.0;0.0
4.0;0.0;0.0;19.0;2.0;0.0;0.0;4.0;False;0.0;0.0;0.0
3.0;0.0;0.0;25.0;1.0;0.0;0.0;5.0;False;0.0;0.0;0.0
47.0;0.0;0.0;157.0;3.357142857;0.0;0.0;16.0;False;0.0;0.0;0.0
2.0;0.0;0.0;13.0;2.0;0.0;0.0;3.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
40.5;0.0;0.0;457.0;2.131578947;0.0;1.0;174.0;False;19.0;0.0;0.0
29.416666666999998;0.0;0.0;199.0;2.2628205130000003;0.0;4.0;67.0;False;13.0;3.0;0.0
27.833333333000002;0.0;0.0;293.0;1.855555556;0.0;0.0;136.0;False;6.0;0.0;2.0
16.0;0.0;0.0;161.0;1.454545455;0.0;3.0;57.0;False;10.0;2.0;0.0
28.0;0.0;0.0;336.0;3.5;0.0;3.0;159.0;False;8.0;2.0;8.0
21.0;0.0;0.0;402.0;1.5;0.0;5.0;113.0;False;13.0;0.0;14.0
21.0;0.0;0.0;402.0;1.5;0.0;5.0;113.0;False;13.0;0.0;14.0
8.0;0.0;0.0;65.0;1.0;0.0;0.0;18.0;False;8.0;0.0;0.0
8.0;0.0;0.0;65.0;1.0;0.0;0.0;10.0;False;0.0;0.0;0.0
1.0;0.0;0.0;15.0;1.0;0.0;0.0;5.0;False;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
2.0;0.0;0.0;12.0;2.0;0.0;0.0;3.0;False;0.0;0.0;0.0
1.0;0.0;0.0;9.0;1.0;0.0;0.0;3.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
16.0;0.0;0.0;654.0;2.0;0.0;30.0;315.0;False;4.0;0.0;8.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
