WMC_CK_25%;Bugged;WMC_CK_max;WMC;WMC_CK_75%;NOCh;NPM;NMI;WMC_CK_50%;WMC_CK_min;NORM;NMIR;WMC_CK_std;WMC_CK_count;WMC_CK_mean;DIT
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;1.0;0.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;9.0;1.0;0.0
1.0;False;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.3746343246326776;19.0;1.1578947368421053;0.0
1.0;True;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;8.0;1.0;0.0
1.0;False;3.0;0.0;1.25;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.7440238091428449;8.0;1.375;0.0
1.0;False;1.0;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;1.0;4.0;1.0;0.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;1.0;1.0
1.0;False;2.0;9.0;1.75;0.0;5.0;0.0;1.0;1.0;0.0;0.0;0.5163977794943222;6.0;1.3333333333333333;1.0
1.0;True;3.0;19.0;2.0;0.0;10.0;0.0;1.0;1.0;0.0;0.0;0.646206172658864;14.0;1.4285714285714286;1.0
1.0;False;2.0;8.0;1.0;0.0;5.0;0.0;1.0;1.0;0.0;0.0;0.4472135954999581;5.0;1.2;1.0
1.0;True;3.0;8.0;1.75;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.8366600265340756;6.0;1.5;1.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;6.0;1.0;0.0
