NumberOfTryCatch;NumberOfAnonymousClasses;NumberOfLambdas;NumberOfComparisons;MaxNumberOfNestedBlocks;CBO;NumberOfInnerClasses;NumberOfParameters_CK;NumberOfLogStatements;IsConstructor;NumberOfStringLiterals;BuggedMethods;NumberOfParenthesizedExps;NumberOfLoops;NumberOfModifiers;NumberOfMathOperations;NumberOfAssignments;NumberOfUniqueWords;RFC;Returns;WMC_CK;LOCMethod_CK;NumberOfNumbers;NumberOfVariables
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;1.0;9.0;0.0;0.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;1.0;13.0;0.0;0.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;1.0;9.0;0.0;0.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;1.0;8.0;0.0;0.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;1.0;17.0;0.0;0.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;False;8.0;False;0.0;0.0;1.0;0.0;1.0;19.0;5.0;1.0;5.0;20.0;0.0;1.0
0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;False;1.0;True;0.0;0.0;9.0;0.0;0.0;19.0;1.0;1.0;2.0;6.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;False;0.0;True;0.0;0.0;9.0;0.0;1.0;34.0;8.0;1.0;1.0;12.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;0.0;24.0;2.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;13.0;0.0;1.0;1.0;4.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;18.0;0.0;1.0;2.0;4.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;13.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;19.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;2.0;14.0;0.0;1.0;1.0;5.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;2.0;17.0;0.0;1.0;1.0;5.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;2.0;20.0;0.0;1.0;1.0;5.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;12.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;16.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.0;False;0.0;0.0;10.0;0.0;8.0;21.0;0.0;0.0;1.0;10.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;16.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;17.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;17.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;23.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;27.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;9.0;0.0;1.0;32.0;0.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;12.0;2.0;1.0;1.0;4.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;12.0;1.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;10.0;1.0;1.0;1.0;3.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;False;0.0;0.0;1.0;0.0;0.0;6.0;0.0;1.0;1.0;3.0;0.0;0.0
