WMC;NOCh;WMC_CK_count;WMC_CK_min;DIT;WMC_CK_25%;NPM;NORM;WMC_CK_std;Bugged;WMC_CK_50%;WMC_CK_mean;NMI;WMC_CK_max;WMC_CK_75%
8.0;0.0;8.0;1.0;1.0;2.0;2.0;0.0;1.8850918886280923;False;2.0;2.875;0.0;7.0;3.25
32.0;0.0;18.0;1.0;1.0;1.0;4.0;0.0;1.4142135623730951;False;1.0;2.0;0.0;5.0;3.0
17.0;0.0;8.0;1.0;1.0;1.75;2.0;0.0;1.164964745021435;False;2.0;2.25;0.0;4.0;2.5
33.0;0.0;27.0;1.0;1.0;1.0;10.0;0.0;4.260733053577302;False;1.0;2.333333333333333;0.0;23.0;2.0
60.0;0.0;28.0;1.0;1.0;1.0;10.0;0.0;3.784366336842744;False;1.0;2.607142857142857;0.0;18.0;2.0
25.0;0.0;19.0;1.0;1.0;1.0;5.0;0.0;1.1697953037312034;False;1.0;1.5789473684210529;0.0;5.0;1.5
4.0;0.0;2.0;1.0;1.0;1.25;0.0;0.0;0.7071067811865476;False;1.5;1.5;0.0;2.0;1.75
29.0;0.0;23.0;1.0;1.0;1.0;15.0;0.0;0.8316847989130755;True;1.0;1.6521739130434785;0.0;4.0;2.0
89.0;0.0;41.0;1.0;1.0;1.0;5.0;0.0;1.5313791010783424;False;1.0;2.1707317073170733;0.0;5.0;4.0
34.0;0.0;2.0;1.0;1.0;1.0;5.0;0.0;0.0;True;1.0;1.0;0.0;1.0;1.0
34.0;0.0;13.0;1.0;1.0;1.0;5.0;0.0;4.200122098347337;True;1.0;3.1538461538461537;0.0;15.0;2.0
6.0;0.0;6.0;1.0;1.0;1.0;6.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
6.0;0.0;3.0;1.0;1.0;1.0;1.0;0.0;1.1547005383792517;False;1.0;1.6666666666666667;0.0;3.0;2.0
35.0;0.0;13.0;1.0;1.0;1.0;6.0;0.0;2.577018750615843;False;1.0;2.8461538461538463;0.0;8.0;4.0
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
37.0;0.0;11.0;1.0;1.0;1.0;8.0;0.0;4.763497569109184;False;1.0;4.090909090909091;0.0;15.0;7.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
11.0;0.0;4.0;1.0;1.0;1.0;4.0;0.0;3.5;False;1.0;2.75;0.0;8.0;2.75
3.0;0.0;3.0;1.0;1.0;1.0;3.0;0.0;0.5773502691896257;False;1.0;1.3333333333333333;0.0;2.0;1.5
12.0;0.0;6.0;1.0;1.0;1.0;6.0;0.0;1.095445115010332;False;2.0;2.0;0.0;3.0;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
2.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
8.0;0.0;4.0;1.0;1.0;1.0;4.0;0.0;0.957427107756338;False;1.5;1.75;0.0;3.0;2.25
2.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
21.0;0.0;12.0;1.0;1.0;1.0;8.0;0.0;1.864744681524183;False;1.0;1.75;0.0;7.0;1.0
65.0;0.0;22.0;1.0;1.0;1.0;18.0;0.0;3.491486243775878;False;2.0;3.0;0.0;13.0;2.75
26.0;0.0;8.0;1.0;1.0;1.0;7.0;0.0;2.659215781283755;False;2.0;3.25;0.0;7.0;5.5
8.0;0.0;7.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
18.0;0.0;10.0;1.0;1.0;1.0;4.0;0.0;2.1832697191750423;False;1.0;2.1;0.0;8.0;2.0
2.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
13.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
13.0;0.0;7.0;1.0;1.0;2.0;5.0;0.0;0.5773502691896257;False;2.0;2.0;0.0;3.0;2.0
11.0;0.0;7.0;1.0;1.0;1.0;5.0;0.0;0.5345224838248488;False;2.0;1.5714285714285714;0.0;2.0;2.0
12.0;0.0;6.0;1.0;1.0;1.25;6.0;0.0;0.5163977794943222;False;2.0;1.6666666666666667;0.0;2.0;2.0
28.0;0.0;15.0;1.0;1.0;1.0;2.0;0.0;1.9444671200491876;False;1.0;1.7333333333333334;0.0;7.0;1.0
2.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
