WMC_CK_75%;WMC_CK_25%;WMC_CK_count;NMI;WMC_CK_50%;NOCh;NPM;WMC;NORM;NMIR;Bugged;WMC_CK_mean;WMC_CK_max;WMC_CK_min;DIT;WMC_CK_std
1.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
3.75;2.25;6.0;0.0;3.0;0.0;4.0;17.0;0.0;0.0;True;3.0;5.0;1.0;1.0;1.4142135623730951
24.0;24.0;1.0;0.0;24.0;0.0;7.0;29.0;0.0;0.0;True;24.0;24.0;24.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;7.0;29.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;7.0;29.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;7.0;29.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;7.0;29.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;7.0;29.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
2.0;2.0;1.0;0.0;2.0;0.0;7.0;29.0;0.0;0.0;True;2.0;2.0;2.0;1.0;0.0
2.75;1.0;10.0;0.0;2.0;0.0;10.0;30.0;0.0;0.0;False;2.9;9.0;1.0;1.0;2.8067379246694513
3.0;3.0;4.0;0.0;3.0;0.0;4.0;13.0;0.0;0.0;False;3.0;3.0;3.0;1.0;0.0
1.0;1.0;6.0;0.0;1.0;0.0;6.0;13.0;0.0;0.0;False;1.8333333333333333;6.0;1.0;1.0;2.041241452319315
3.0;1.0;6.0;0.0;2.0;0.0;6.0;13.0;0.0;0.0;True;2.1666666666666665;4.0;1.0;1.0;1.3291601358251257
2.0;2.0;2.0;0.0;2.0;0.0;2.0;5.0;0.0;0.0;False;2.0;2.0;2.0;1.0;0.0
1.0;1.0;7.0;0.0;1.0;0.0;7.0;11.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;2.0;0.0;1.0;0.0;2.0;4.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
