NumberOfAncestors;NumberPublicMethods;NumberOfInheritedMethods;NumberOfSubclasses;NumberUserDefinedAttributes;NumberOfMethods_Mood;NumberOfPolymorphicMethods;Cohesion;NumberOfAttributes;Bugged;NumberOfPrivateAttributes;NumberOfPublicAttributes;NumberOfCoupledClasses;NumberOfProtectedAttributes
0.0;0.0;0.0;0.0;0.0;71.0;69.0;0.027777777777777776;0.0;False;0.0;0.0;0.0;0.0
0.0;15.0;0.0;0.0;0.0;15.0;15.0;0.13333333333333333;4.0;False;3.0;0.0;0.0;1.0
0.0;3.0;0.0;0.0;0.0;5.0;0.0;0.5;5.0;False;5.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;6.0;5.0;0.16666666666666666;12.0;False;8.0;4.0;0.0;0.0
0.0;6.0;0.0;0.0;1.0;7.0;6.0;0.3333333333333333;7.0;False;5.0;2.0;1.0;0.0
0.0;6.0;0.0;0.0;1.0;7.0;6.0;0.3333333333333333;7.0;False;5.0;2.0;1.0;0.0
0.0;6.0;0.0;0.0;1.0;7.0;6.0;0.3333333333333333;7.0;False;5.0;2.0;1.0;0.0
0.0;6.0;0.0;0.0;1.0;7.0;6.0;0.3333333333333333;7.0;False;5.0;2.0;1.0;0.0
0.0;12.0;0.0;0.0;0.0;12.0;12.0;0.3333333333333333;0.0;True;0.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.5;0.0;False;0.0;0.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;11.0;11.0;0.0;1.0;False;1.0;0.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;11.0;11.0;0.0;1.0;False;1.0;0.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;11.0;11.0;0.0;1.0;False;1.0;0.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;11.0;11.0;0.0;1.0;False;1.0;0.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;11.0;11.0;0.0;1.0;False;1.0;0.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;11.0;11.0;0.0;1.0;False;1.0;0.0;0.0;0.0
0.0;41.0;0.0;0.0;0.0;43.0;42.0;0.02325581395348837;2.0;True;2.0;0.0;0.0;0.0
0.0;41.0;0.0;0.0;0.0;43.0;42.0;0.02325581395348837;2.0;True;2.0;0.0;0.0;0.0
0.0;41.0;0.0;0.0;0.0;43.0;42.0;0.02325581395348837;2.0;True;2.0;0.0;0.0;0.0
0.0;41.0;0.0;0.0;0.0;43.0;42.0;0.02325581395348837;2.0;True;2.0;0.0;0.0;0.0
0.0;41.0;0.0;0.0;0.0;43.0;42.0;0.02325581395348837;2.0;True;2.0;0.0;0.0;0.0
0.0;41.0;0.0;0.0;0.0;43.0;42.0;0.02325581395348837;2.0;True;2.0;0.0;0.0;0.0
0.0;41.0;0.0;0.0;0.0;43.0;42.0;0.02325581395348837;2.0;True;2.0;0.0;0.0;0.0
0.0;41.0;0.0;0.0;0.0;43.0;42.0;0.02325581395348837;2.0;True;2.0;0.0;0.0;0.0
0.0;9.0;0.0;0.0;0.0;9.0;9.0;0.0;4.0;True;2.0;2.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;11.0;11.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;9.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;True;0.0;0.0;0.0;0.0
0.0;9.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;True;0.0;0.0;0.0;0.0
0.0;9.0;0.0;0.0;0.0;9.0;9.0;0.0;0.0;True;0.0;0.0;0.0;0.0
0.0;24.0;0.0;0.0;0.0;24.0;24.0;0.0;1.0;False;1.0;0.0;0.0;0.0
0.0;6.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;16.0;0.0;0.0;0.0;16.0;16.0;0.0875;6.0;False;6.0;0.0;2.0;0.0
0.0;10.0;0.0;0.0;0.0;11.0;10.0;0.09090909090909093;11.0;True;7.0;4.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;6.0;5.0;0.16666666666666666;5.0;True;2.0;3.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;6.0;5.0;0.16666666666666666;5.0;True;2.0;3.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;6.0;5.0;0.16666666666666666;5.0;True;2.0;3.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;6.0;5.0;0.16666666666666666;5.0;True;2.0;3.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;6.0;5.0;0.16666666666666666;5.0;True;2.0;3.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;6.0;5.0;0.16666666666666666;5.0;True;2.0;3.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;6.0;5.0;0.16666666666666666;5.0;True;2.0;3.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;15.0;0.0;0.0;0.0;15.0;15.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;15.0;0.0;0.0;0.0;15.0;15.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;15.0;0.0;0.0;0.0;15.0;15.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;11.0;0.0;0.0;0.0;11.0;11.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;44.0;0.0;0.0;0.0;44.0;44.0;0.0;1.0;True;0.0;1.0;0.0;0.0
0.0;44.0;0.0;0.0;0.0;44.0;44.0;0.0;1.0;True;0.0;1.0;0.0;0.0
0.0;44.0;0.0;0.0;0.0;44.0;44.0;0.0;1.0;True;0.0;1.0;0.0;0.0
