Bugged;MHF;MIF;Aa;AIF;AHF
False;0.8;0.0;3.0;0.0;0.0
False;0.8;0.0;3.0;0.0;0.0
False;0.8;0.0;3.0;0.0;0.0
False;0.833333333;0.0;14.0;0.0;0.14285714300000002
False;0.833333333;0.0;14.0;0.0;0.14285714300000002
False;0.7;0.0;0.0;0.0;0.0
False;0.7;0.0;0.0;0.0;0.0
False;0.5;0.0;0.0;0.0;0.0
False;0.5;0.0;0.0;0.0;0.0
False;0.8888888890000001;0.0;5.0;0.0;0.0
False;1.0;0.0;3.0;0.0;0.333333333
False;1.0;0.0;3.0;0.0;0.333333333
False;1.0;0.0;0.0;0.0;0.0
False;0.5;0.0;0.0;0.0;0.0
False;1.0;0.0;1.0;0.0;0.0
False;0.666666667;0.0;6.0;0.0;0.0
False;0.5;0.0;0.0;0.0;0.0
