WMC_CK_count;NORM;DIT;WMC;WMC_CK_mean;NMIR;WMC_CK_50%;WMC_CK_min;WMC_CK_25%;WMC_CK_std;Bugged;NOCh;NMI;WMC_CK_75%;WMC_CK_max;NPM
4.0;0.0;1.0;11.0;4.0;0.0;3.0;2.0;2.75;2.7080128015453195;False;0.0;0.0;4.25;8.0;2.0
2.0;0.0;1.0;5.0;3.0;0.0;3.0;1.0;2.0;2.8284271247461903;False;0.0;0.0;4.0;5.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
3.0;0.0;1.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
3.0;0.0;1.0;5.0;1.6666666666666667;0.0;2.0;1.0;1.5;0.5773502691896257;False;0.0;0.0;2.0;2.0;0.0
1.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
4.0;0.0;1.0;5.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;0.0;0.0;1.0;1.0;0.0
